Ensembl.id,Gene.name,G19.Scr.1,G19.Scr.2,G19.Scr.3,G19.Scr.4,G19.shMETTL7B.1,G19.shMETTL7B.2,G19.shMETTL7B.3,G19.shMETTL7B.4
ENSG00000168772,CXXC4,2.774661519,2.206935622,0.91537245,1.576355274,1.00215286,0.779299986,1.313517719,0.918865543
ENSG00000168778,TCTN2,4.492263839,4.562666529,4.384447693,4.392181832,4.011822998,3.862579631,3.903317186,3.999727885
ENSG00000168781,PPIP5K1,2.638073226,2.319493338,2.791159026,2.561511365,2.588455253,2.171450693,2.568609478,2.377051841
ENSG00000168785,TSPAN5,7.174122453,7.183654728,7.254022587,7.269423745,7.408748931,7.446231269,7.377744784,7.420444084
ENSG00000168792,ABHD15,3.553905986,3.236820586,3.872694103,3.721240547,3.580424163,3.67757432,3.638881526,3.731834953
ENSG00000168795,ZBTB5,4.525663074,4.636167825,4.710226118,4.493479529,4.924137032,5.145451479,5.072749863,4.955968687
ENSG00000168802,CHTF8,6.446549329,6.241800703,6.499709363,6.377065289,6.273393345,6.270182672,6.370447952,6.366326684
ENSG00000168803,ADAL,2.243244131,2.482005835,2.495412078,2.575300022,2.932412522,2.360542649,2.776097543,2.465903996
ENSG00000168806,LCMT2,5.2384321,5.256562395,5.165748648,5.064940696,5.222832124,5.071287973,5.396295631,5.030181364
ENSG00000168807,SNTB2,4.548001652,4.766860961,4.549559742,4.561861066,4.671025737,4.843618342,4.815968402,4.824783374
ENSG00000168811,IL12A,0.956853045,1.523888298,1.614174219,1.728946814,2.268008794,2.232969283,2.217203604,2.203304911
ENSG00000168813,ZNF507,4.744707282,4.606106339,4.742363161,4.534663592,4.839294937,5.039575069,4.924859876,4.806349934
ENSG00000168818,STX18,3.097664924,3.041728704,2.956419666,3.13139074,2.988932562,3.349731962,2.79412681,2.959195741
ENSG00000168824,NSG1,5.188929643,5.231476332,5.123709808,5.110003305,4.963076014,4.819368737,4.847670012,4.958535461
ENSG00000168826,ZBTB49,1.411518944,0.291688476,0.816053929,0.811375112,1.295635299,1.239688123,1.492419233,1.108354878
ENSG00000168827,GFM1,5.840759087,5.623151634,5.865939575,5.855336885,5.802807796,5.79420223,5.71987996,5.875029633
ENSG00000168872,DDX19A,6.067223579,6.025101926,5.913954279,5.937695529,6.018611839,5.958579451,6.004327854,6.035713955
ENSG00000168874,ATOH8,3.481797266,3.697462922,2.978172532,3.381916546,3.219443428,3.05246988,3.283683319,3.30930891
ENSG00000168876,ANKRD49,3.086877586,3.059357219,3.452240054,3.441464555,3.302025758,3.45004204,3.413680851,3.367297308
ENSG00000168883,USP39,5.982396155,6.076892485,6.170151198,6.125245426,6.031514529,6.033297205,5.951502713,6.07768983
ENSG00000168884,TNIP2,3.754103474,3.468728959,3.981550228,3.846156052,3.827144187,3.565438513,3.537609515,3.529735794
ENSG00000168887,C2orf68,4.639633426,4.552710238,4.750907477,4.602263652,4.727770906,4.639633426,4.61076204,4.727044524
ENSG00000168890,TMEM150A,2.933083379,3.224352778,3.148687225,3.036849286,2.369306728,2.616550829,2.681180191,2.534450188
ENSG00000168894,RNF181,6.006476353,6.112546003,5.970029519,6.100811769,5.889338995,5.816107045,5.810620178,5.853010431
ENSG00000168899,VAMP5,4.830563051,4.919046705,4.714701959,4.85522572,3.985091858,4.201973367,3.971763336,4.018583003
ENSG00000168904,LRRC28,4.015830295,4.314127488,4.340283432,4.294100017,4.272597125,4.455773719,4.508880668,4.456187631
ENSG00000168906,MAT2A,8.325368276,8.298930813,8.393156666,8.414080784,8.393156666,8.390569027,8.393156666,8.448953107
ENSG00000168913,ENHO,1.827839639,1.780296252,3.251862087,3.498039495,3.060020878,2.964704429,2.925814261,2.548849838
ENSG00000168916,ZNF608,6.018611839,5.893267812,5.775215053,5.812832957,5.717346554,5.831302343,5.905306792,5.859924131
ENSG00000168917,SLC35G2,4.23252352,4.396363482,4.798939534,4.627644593,4.324411198,4.389368555,4.389368555,4.308471273
ENSG00000168918,INPP5D,0.783925419,-0.302526414,0.028105485,0.267575009,0.086565847,0.13959988,0.086565847,-0.341512959
ENSG00000168924,LETM1,4.587133547,4.594061999,4.672923114,4.64803481,4.528339344,4.676785506,4.676785506,4.606106339
ENSG00000168936,TMEM129,5.568218378,5.443985859,5.453508652,5.497533853,5.328269478,5.315639853,5.25822532,5.369054344
ENSG00000168938,PPIC,0.454458556,0.369358657,0.13959988,-0.498596608,0.611798432,0.488079113,0.724081471,1.014832548
ENSG00000168939,SPRY3,1.811702513,1.492419233,0.667575828,0.578386093,1.42443873,1.672251911,1.237318325,1.276488137
ENSG00000168944,CEP120,4.481911461,4.297300028,4.400688358,4.30065794,4.377958987,4.359392654,4.391370822,4.257817979
ENSG00000168958,MFF,5.914396856,5.958974243,5.786682286,5.84570266,5.889723031,5.886373348,5.821429956,5.837676408
ENSG00000168961,LGALS9,0.22998078,1.181175706,0.105101627,0.759534269,0.565187262,0.697202992,0.938259962,0.315130983
ENSG00000168970,JMJD7-PLA2G4B,1.955691356,2.364748849,2.523255797,2.475753562,2.559806959,2.550409731,2.596354308,3.272539647
ENSG00000168993,CPLX1,-0.433197655,-0.341512959,0.981725124,0.625469251,0.850345103,0.759534269,0.571633988,0.565187262
ENSG00000168994,PXDC1,5.66778527,5.697317355,6.133720993,6.131540344,5.963713178,5.927880394,6.018215233,5.914803826
ENSG00000169016,E2F6,5.359369832,5.427413856,5.448038178,5.428828888,5.408888895,5.260312045,5.337678263,5.4140902
ENSG00000169018,FEM1B,6.366791086,6.295230615,6.537305365,6.392920061,6.55051469,6.55891126,6.565849456,6.480893955
ENSG00000169019,COMMD8,3.795888672,3.872694103,3.779965129,3.744858473,3.690896342,3.903784883,3.46012507,3.697462922
ENSG00000169020,ATP5I,5.153482138,5.505062526,5.28013019,5.307032544,5.248011988,5.198964121,5.282207809,5.152131426
ENSG00000169021,UQCRFS1,7.060618245,6.959233798,7.222785559,7.232841018,7.259032078,7.189901308,7.154824587,7.168577371
ENSG00000169032,MAP2K1,7.379663338,7.36319741,7.003655684,7.001692837,7.13909287,7.069617948,7.078419428,7.043842317
ENSG00000169045,HNRNPH1,8.572685065,8.551603782,8.46542494,8.354973255,8.701055621,8.74595465,8.725023456,8.731960202
ENSG00000169047,IRS1,4.655740365,4.603785421,4.092128277,4.270560917,4.609180597,4.596787547,4.551489978,4.615769278
ENSG00000169057,MECP2,5.960536032,6.029068511,6.073956137,5.989944822,6.076054715,6.107974361,6.103687935,6.223083282
ENSG00000169062,UPF3A,6.392920061,6.221381805,5.881188388,5.98281783,6.074784595,6.073129737,6.033679193,6.052443105
ENSG00000169083,AR,-0.498596608,-0.260389872,-0.081780256,-0.227953057,-0.165636165,0.512303213,0.504038534,0.20412043
ENSG00000169084,DHRSX,5.380262137,5.332928133,5.299814177,5.231144438,5.192332774,5.23708143,5.213738613,5.253066225
ENSG00000169085,C8orf46,4.025667681,3.939911471,4.575125327,4.553947189,5.056125263,5.028439326,5.180971354,5.204138442
ENSG00000169087,HSPBAP1,2.452687369,2.35168449,2.48043007,2.486889625,2.709372211,2.804473963,2.627255056,2.558190923
ENSG00000169093,ASMTL,4.847670012,4.851898574,4.86186785,5.024092395,4.706406162,4.686705071,4.722995749,4.654582803
ENSG00000169100,SLC25A6,8.990481227,9.007758446,8.994778293,9.016486991,9.093229792,9.038577133,9.140655015,9.116719687
ENSG00000169105,CHST14,6.567397066,6.638234896,6.438158361,6.42431836,6.43572404,6.348244331,6.589937578,6.577397911
ENSG00000169118,CSNK1G1,4.186914541,4.401104925,4.308471273,4.306090162,4.071879024,4.160121401,4.383641338,4.151386162
ENSG00000169122,FAM110B,2.923685187,3.268263359,2.065670811,2.153279015,2.14555799,2.100645094,2.081591009,2.064690291
ENSG00000169129,AFAP1L2,4.358991486,4.260358355,3.068033285,3.1048442,2.665431156,2.595583942,2.591690562,2.792637678
ENSG00000169131,ZNF354A,3.459592458,3.272539647,3.509356547,3.269461082,3.279425195,3.081465038,2.966767512,3.349731962
ENSG00000169136,ATF5,4.87718879,4.894230581,4.214342121,4.414836941,4.570717444,4.46308771,4.466699365,4.498671795
ENSG00000169139,UBE2V2,6.134550422,6.232634707,6.171008539,6.153626024,5.911218979,6.039055731,6.073956137,6.074784595
ENSG00000169155,ZBTB43,3.902889232,3.614745076,3.903317186,3.991263011,4.125768495,4.204534537,4.202780975,4.148415626
ENSG00000169169,CPT1C,6.357725708,6.247979305,6.321574677,6.431277082,6.313870417,6.409472575,6.404655175,6.311162651
ENSG00000169180,XPO6,6.640993631,6.722513566,6.767590222,6.850838618,6.706328353,6.664143259,6.668571331,6.776785548
ENSG00000169184,MN1,3.393351642,3.389137703,3.419403261,3.183427753,3.918920895,4.123621854,4.145861198,3.939911471
ENSG00000169188,APEX2,4.52009085,4.50067442,4.432974233,4.436859371,4.426558455,4.414836941,4.613087232,4.492661374
ENSG00000169189,NSMCE1,4.957806898,4.926653673,4.881836445,4.834944908,4.748800156,4.715500643,4.744707282,4.815560509
ENSG00000169193,CCDC126,3.566452393,3.380173352,3.503716661,3.407265584,3.302629875,3.239903064,3.281270957,3.293494143
ENSG00000169203,RP11-231C14.4,1.136154867,1.181175706,0.051047463,-0.198084743,0.544199923,0.578386093,1.181175706,0.988456901
ENSG00000169213,RAB3B,4.6859165,4.79225264,4.758854991,4.621173366,4.428590725,4.454196491,4.535420765,4.60880226
ENSG00000169217,CD2BP2,7.084940809,7.073173745,7.235313366,7.117383351,7.059192627,7.146738602,7.183654728,7.150803418
ENSG00000169220,RGS14,4.214342121,3.903317186,4.186914541,4.1681359,3.619893424,3.585190248,3.758040709,3.393943836
ENSG00000169221,TBC1D10B,6.207422024,6.094817266,6.099132546,6.084291911,6.288996808,6.140920914,6.236171775,6.268276453
ENSG00000169223,LMAN2,7.289359631,7.254840058,7.185287627,7.181994725,7.095657245,7.014103484,7.0978239,7.035342632
ENSG00000169228,RAB24,5.635619602,5.785599437,5.977967729,5.972014129,5.924490382,6.028672595,6.022683567,6.044864357
ENSG00000169230,PRELID1,7.612459545,7.596150047,7.568759637,7.69765664,7.7237358,7.694922772,7.69358732,7.660300872
ENSG00000169231,THBS3,4.619207297,4.585244074,4.390165762,4.362532975,4.245771601,4.438175676,4.217241657,4.339468774
ENSG00000169239,CA5B,3.280640496,3.065405434,2.68504813,3.01457289,2.947120216,3.058717095,3.11091245,3.164572683
ENSG00000169241,SLC50A1,3.371936797,3.465259803,3.572575552,3.783863299,3.16257956,3.221296289,3.22689906,3.431005288
ENSG00000169242,EFNA1,2.095641753,2.815395742,2.059636904,2.295195178,1.269500053,1.267349137,1.350286077,0.922515731
ENSG00000169246,NPIPB3,2.073640857,1.726373841,1.967914126,2.261498557,2.293461434,2.371067555,2.299716569,1.915043668
ENSG00000169247,SH3TC2,2.142651238,1.870832231,1.987617749,1.636382667,1.09396747,1.356289203,1.431956408,1.742569875
ENSG00000169249,ZRSR2,3.467609602,3.595985654,3.277037466,3.288005259,3.2181821,3.477824308,3.411426457,3.364269741
ENSG00000169251,NMD3,5.064234572,5.183047123,5.141695365,5.131756572,5.005037942,5.05066839,4.972396899,5.092617842
ENSG00000169255,B3GALNT1,5.644233159,5.702004955,5.535307405,5.528239962,5.447011587,5.380980388,5.462888611,5.481115347
ENSG00000169258,GPRIN1,5.89800393,5.956580373,5.87356283,5.818388006,5.512432911,5.355698191,5.499931403,5.504367787
ENSG00000169288,MRPL1,3.558959009,3.945056039,3.480104525,3.476225243,3.415976365,3.673946417,3.476225243,3.597034059
ENSG00000169299,PGM2,4.626840118,4.740058874,4.698531948,4.734727043,5.017719427,4.893875008,4.900610934,4.867687865
ENSG00000169302,STK32A,1.39673185,1.930760303,2.725652114,2.679775277,1.940852454,2.367569555,2.66169046,2.410181526
ENSG00000169330,KIAA1024,1.44956027,1.433748313,1.096941762,1.070661564,0.903770101,0.217043677,1.119674964,1.021063916
ENSG00000169359,SLC33A1,4.808591559,4.816710969,5.229462576,5.133826323,4.907621842,4.866195442,4.875416875,4.970948018
ENSG00000169371,SNUPN,4.043572108,3.903784883,4.147130738,3.98327803,4.156281302,4.225447695,4.197870961,4.246596316
ENSG00000169372,CRADD,3.430421877,3.643485227,3.072094159,3.211302967,3.442028938,3.251223197,3.343853618,3.447757846
ENSG00000169375,SIN3A,5.860667193,5.943709129,5.964084672,5.839975818,5.950715315,5.990762327,5.96292987,5.984829441
ENSG00000169379,ARL13B,3.777430561,3.951912782,4.106565855,4.139750591,3.803654343,3.948724897,3.87508728,4.152765767
ENSG00000169398,PTK2,7.585785085,7.584615481,7.632201538,7.641848353,7.415610758,7.471503866,7.432196639,7.42143516
ENSG00000169402,RSPH10B2,0.028105485,0.007884529,0.051047463,0.028105485,0.691309534,0.188655779,0.255534261,0.463708696
ENSG00000169410,PTPN9,6.841750065,6.813903168,6.651556347,6.673435872,6.639334925,6.54333599,6.629615725,6.63117555
ENSG00000169418,NPR1,4.022992913,3.848463108,1.585620039,1.258628992,2.297925369,2.37188543,2.527259169,2.451794814
ENSG00000169436,COL22A1,3.20738873,3.276396372,3.356777482,3.633203136,1.71784578,1.630493116,1.999707299,1.764506544
